id,lemma,pos,label,cosine,lang_pair
test.en-fr.0,gently,ADV,F,0.9900963306427002,en-fr
test.en-fr.1,gently,ADV,F,0.9818530082702637,en-fr
test.en-fr.2,next,ADJ,T,0.9764571189880371,en-fr
test.en-fr.3,next,ADJ,T,0.9807143211364746,en-fr
test.en-fr.4,letter,NOUN,T,0.99080890417099,en-fr
test.en-fr.5,letter,NOUN,T,0.9856455326080322,en-fr
test.en-fr.6,intend,VERB,T,0.9804383516311646,en-fr
test.en-fr.7,intend,VERB,T,0.9821968674659729,en-fr
test.en-fr.8,true,ADJ,T,0.9812403917312622,en-fr
test.en-fr.9,true,ADJ,T,0.989489734172821,en-fr
test.en-fr.10,single,ADJ,F,0.9664538502693176,en-fr
test.en-fr.11,single,ADJ,F,0.9743559956550598,en-fr
test.en-fr.12,code,NOUN,T,0.9882747530937195,en-fr
test.en-fr.13,code,NOUN,T,0.9858668446540833,en-fr
test.en-fr.14,bill,NOUN,T,0.9851254820823669,en-fr
test.en-fr.15,bill,NOUN,T,0.9835488200187683,en-fr
test.en-fr.16,speech,NOUN,T,0.9895150065422058,en-fr
test.en-fr.17,speech,NOUN,T,0.9877795577049255,en-fr
test.en-fr.18,light,NOUN,F,0.9751810431480408,en-fr
test.en-fr.19,light,NOUN,F,0.9724944233894348,en-fr
test.en-fr.20,turn,VERB,F,0.9812624454498291,en-fr
test.en-fr.21,turn,VERB,F,0.9797647595405579,en-fr
test.en-fr.22,affair,NOUN,T,0.9873590469360352,en-fr
test.en-fr.23,affair,NOUN,T,0.9915638566017151,en-fr
test.en-fr.24,rating,NOUN,T,0.9798457622528076,en-fr
test.en-fr.25,rating,NOUN,T,0.986731231212616,en-fr
test.en-fr.26,stem,VERB,T,0.9810672402381897,en-fr
test.en-fr.27,stem,VERB,T,0.9800249338150024,en-fr
test.en-fr.28,accession,NOUN,T,0.9826792478561401,en-fr
test.en-fr.29,accession,NOUN,T,0.9820180535316467,en-fr
test.en-fr.30,deep,ADJ,T,0.9708402752876282,en-fr
test.en-fr.31,deep,ADJ,T,0.986242949962616,en-fr
test.en-fr.32,root,NOUN,F,0.9681949019432068,en-fr
